date,package,last_day,last_week,last_month
2026-08-25,azure-functions-cookbook,,,
2026-08-25,azure-functions-db,26,205,1472
2026-08-25,azure-functions-doctor,231,559,3978
2026-08-25,azure-functions-durable-graph,,,
2026-08-25,azure-functions-knowledge,,,
2026-08-25,azure-functions-langgraph,27,207,1454
2026-08-25,azure-functions-logging,230,561,4669
2026-08-25,azure-functions-openapi,1400,7115,26195
2026-08-25,azure-functions-scaffold,7,43,350
2026-08-25,azure-functions-validation,298,796,5676
2026-08-31,azure-functions-cookbook,,,
2026-08-31,azure-functions-db,119,305,1599
2026-08-31,azure-functions-doctor,132,687,4110
2026-08-31,azure-functions-durable-graph,,,
2026-08-31,azure-functions-knowledge,,,
2026-08-31,azure-functions-langgraph,117,282,1557
2026-08-31,azure-functions-logging,131,623,4746
2026-08-31,azure-functions-openapi,305,4361,24948
2026-08-31,azure-functions-scaffold,1,48,382
2026-08-31,azure-functions-validation,137,792,5830
2026-09-07,azure-functions-cookbook,,,
2026-09-07,azure-functions-db,103,156,1469
2026-09-07,azure-functions-doctor,232,312,3848
2026-09-07,azure-functions-durable-graph,,,
2026-09-07,azure-functions-knowledge,,,
2026-09-07,azure-functions-langgraph,103,142,1416
2026-09-07,azure-functions-logging,154,220,3786
2026-09-07,azure-functions-openapi,590,3228,22520
2026-09-07,azure-functions-scaffold,0,20,397
2026-09-07,azure-functions-validation,161,374,5018
2026-09-14,azure-functions-cookbook,,,
2026-09-14,azure-functions-db,,,
2026-09-14,azure-functions-doctor,40,736,2275
2026-09-14,azure-functions-durable-graph,,,
2026-09-14,azure-functions-knowledge,,,
2026-09-14,azure-functions-langgraph,9,521,1168
2026-09-14,azure-functions-logging,36,865,2230
2026-09-14,azure-functions-openapi,,,
2026-09-14,azure-functions-scaffold,,,
2026-09-14,azure-functions-validation,23,693,2611
